,name,bonus,goals,assists,minutes,penalties_missed,penalties_saved,clean_sheets,points,reds,yellows,team,position,cost
486,Jeff Hendrick,3,2,1,1418,0,0,3,52,1,1,NEW,MID,45
487,Matthew Longstaff,0,0,0,376,0,0,1,10,0,0,NEW,MID,48
488,Mark Gillespie,0,0,0,0,0,0,0,0,0,0,NEW,GKP,43
489,Jacob Murphy,7,2,3,1617,0,0,3,69,0,3,NEW,MID,49
490,Callum Wilson,22,12,6,2081,0,0,5,134,0,2,NEW,FWD,65
491,Ryan Fraser,0,0,4,922,0,0,4,39,1,0,NEW,MID,56
492,Jamal Lewis,3,0,1,1833,0,0,3,44,0,4,NEW,DEF,40
493,Elliot Anderson,0,0,0,3,0,0,0,1,0,0,NEW,MID,45
494,Daniel Langley,0,0,0,0,0,0,0,0,0,0,NEW,GKP,39
495,Rhian Brewster,0,0,0,1113,0,0,2,34,0,1,SHU,FWD,42
496,Billy Sharp,6,3,0,725,0,0,0,39,0,1,SHU,FWD,55
497,David McGoldrick,12,8,1,2391,0,0,9,100,0,7,SHU,FWD,52
498,Chris Basham,2,0,1,2576,0,0,2,51,0,5,SHU,DEF,46
499,John Fleck,1,0,3,2573,0,0,5,70,0,4,SHU,MID,56
500,Enda Stevens,2,0,1,2700,0,0,4,56,0,6,SHU,DEF,50
501,Simon Moore,0,0,0,0,0,0,0,0,0,0,SHU,GKP,43
502,Oliver Norwood,0,0,0,2214,0,0,5,54,0,6,SHU,MID,45
503,Wes Foderingham,0,0,0,0,0,0,0,0,0,0,SHU,GKP,43
504,George Baldock,2,0,2,2787,0,0,4,63,0,7,SHU,DEF,49
505,Jack Robinson,3,0,2,875,0,0,2,32,0,3,SHU,DEF,42
506,John Egan,4,0,1,2628,0,0,4,57,1,7,SHU,DEF,47
507,Jack O'Connell,0,0,0,180,0,0,0,3,0,0,SHU,DEF,47
508,John Lundstram,2,0,2,2027,1,0,3,48,1,8,SHU,MID,48
509,Ben Osborn,3,1,0,1599,0,0,4,51,0,1,SHU,MID,47
510,Oliver McBurnie,2,1,2,1316,0,0,0,44,0,2,SHU,FWD,56
511,Lys Mousset,0,0,0,287,0,0,0,13,0,0,SHU,FWD,58
512,Sander Berge,1,1,1,1119,0,0,0,31,0,4,SHU,MID,49
513,Oliver Burke,0,1,2,1260,0,0,1,46,0,2,SHU,MID,41
514,Luke Freeman,0,0,0,0,0,0,0,0,0,0,SHU,MID,50
515,Aaron Ramsdale,12,0,0,3420,0,0,5,123,0,1,SHU,GKP,46
516,Ethan Ampadu,4,0,0,2087,0,0,2,44,0,3,SHU,DEF,43
517,Jayden Bogle,0,2,0,1107,0,0,2,39,0,2,SHU,DEF,43
518,Max Lowe,0,0,0,549,0,0,0,9,0,1,SHU,DEF,42
519,Phil Jagielka,0,0,0,524,0,0,0,5,1,1,SHU,DEF,39
520,Michael Verrips,0,0,0,0,0,0,0,0,0,0,SHU,GKP,40
521,Kean Bryan,0,1,0,1003,0,0,2,29,0,1,SHU,DEF,39
522,Antwoine Hackford,0,0,0,10,0,0,0,1,0,0,SHU,FWD,44
523,Kyron Gordon,0,0,0,0,0,0,0,0,0,0,SHU,DEF,40
524,Iliman Ndiaye,0,0,0,11,0,0,0,1,0,0,SHU,MID,45
525,Zak Brunt,0,0,0,0,0,0,0,0,0,0,SHU,MID,45
526,Frankie Maguire,0,0,0,0,0,0,0,0,0,0,SHU,MID,44
527,Daniel Jebbison,1,1,0,283,0,0,2,12,0,0,SHU,FWD,45
528,Harry Boyes,0,0,0,0,0,0,0,0,0,0,SHU,DEF,40
529,Femi Seriki,0,0,0,1,0,0,0,1,0,0,SHU,MID,45
