,name,no_games,avg_assists,last_assists,avg_bonus,last_bonus,avg_bps,last_bps,avg_clean_sheets,last_clean_sheets,avg_creativity,last_creativity,avg_element_code,last_element_code,avg_end_cost,last_end_cost,avg_goals_conceded,last_goals_conceded,avg_goals_scored,last_goals_scored,avg_ict_index,last_ict_index,avg_influence,last_influence,avg_minutes,last_minutes,avg_own_goals,last_own_goals,avg_penalties_missed,last_penalties_missed,avg_penalties_saved,last_penalties_saved,avg_red_cards,last_red_cards,avg_saves,last_saves,avg_start_cost,last_start_cost,avg_threat,last_threat,avg_total_points,last_total_points,avg_yellow_cards,last_yellow_cards
0,Connor Wickham,10,0.8,0,2.1,0,63.3,0,2.1,0,11.26,0.0,59125.0,59125,51.0,44,9.5,0,1.9,0,5.279999999999999,0.0,17.06,0.0,647.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,54.0,45,25.1,0.0,29.4,0,1.1,0
0,Andros Townsend,11,3.1818181818181817,5,5.0,8,238.1818181818182,378,4.7272727272727275,7,339.5181818181818,694.6,60252.0,60252,53.54545454545455,55,23.363636363636363,37,2.0,1,77.94545454545455,152.1,243.5636363636364,511.4,1488.090909090909,2250,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,56.81818181818182,60,195.72727272727272,311.0,65.81818181818181,94,1.2727272727272727,0
0,Luka Milivojevic,5,1.2,1,12.0,3,450.8,332,7.8,7,442.85999999999996,329.6,66975.0,66975,58.0,56,41.2,47,5.6,1,132.0,88.4,603.0400000000001,410.8,2518.0,2357,0.0,0,0.6,1,0.0,0,0.2,1,0.0,0,59.0,60,273.6,143.0,99.2,63,8.4,8
0,Patrick van Aanholt,10,1.7,2,6.8,5,361.9,313,4.8,4,206.97000000000003,195.3,74230.0,74230,48.8,54,31.3,36,2.2,0,63.1,69.1,259.88,298.6,1774.0,1775,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,50.0,55,163.3,198.0,71.2,54,2.1,2
0,Jordan Ayew,6,2.6666666666666665,4,8.333333333333334,2,267.6666666666667,216,6.5,6,227.4,238.6,80146.0,80146,53.666666666666664,56,34.5,42,4.333333333333333,1,99.90000000000002,96.6,286.56666666666666,278.6,2079.3333333333335,2086,0.0,0,0.0,0,0.0,0,0.3333333333333333,0,0.0,0,55.0,60,486.6666666666667,451.0,80.16666666666667,70,3.6666666666666665,4
0,Wilfried Zaha,8,6.0,4,6.5,11,326.25,362,7.125,6,386.6375,428.5,82403.0,82403,61.0,71,38.5,52,5.875,11,146.20000000000002,200.4,413.22499999999997,572.6,2447.125,2612,0.0,0,0.0,0,0.0,0,0.125,0,0.0,0,63.75,70,662.0,1003.0,110.125,136,4.875,6
0,Jeffrey Schlupp,7,2.4285714285714284,3,2.5714285714285716,3,264.14285714285717,194,4.142857142857143,5,124.94285714285715,242.1,86417.0,86417,48.0,53,25.571428571428573,26,1.8571428571428572,2,51.628571428571426,88.2,216.5142857142857,336.6,1557.7142857142858,1415,0.14285714285714285,0,0.0,0,0.0,0,0.0,0,0.0,0,50.0,55,174.28571428571428,304.0,64.85714285714286,65,2.4285714285714284,3
0,Max Meyer,3,1.0,0,0.0,0,96.66666666666667,0,2.3333333333333335,0,126.26666666666665,0.0,141020.0,141020,51.333333333333336,47,11.666666666666666,0,0.3333333333333333,0,40.6,0.0,101.33333333333333,0.0,683.3333333333334,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,55.0,50,178.66666666666666,0.0,27.666666666666668,0,1.3333333333333333,0
0,Jairo Riedewald,4,0.0,0,1.0,4,116.25,249,1.5,4,57.25,160.4,173954.0,173954,44.5,44,13.5,39,0.5,2,20.525,52.4,116.35,274.0,751.5,1810,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,46.25,45,31.75,88.0,27.25,64,1.0,4
0,Nathan Ferguson,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,232423.0,232423,39.0,38,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,40.0,40,0.0,0.0,0.0,0,0.0,0
0,Tyrick Mitchell,2,1.0,2,2.5,5,155.0,287,2.0,4,67.75,76.8,244723.0,244723,39.0,38,18.0,32,0.5,1,31.1,52.5,212.0,387.6,951.5,1710,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,40.0,40,31.0,60.0,31.0,58,1.0,1
0,Brandon Pierrick,2,0.0,0,0.0,0,3.5,0,0.0,0,10.5,0.0,466955.0,466955,44.0,43,0.0,0,0.0,0,1.45,0.0,3.2,0.0,6.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,45.0,45,1.0,0.0,1.0,0,0.0,0
0,Scott Dann,11,1.2727272727272727,1,3.272727272727273,1,205.0909090909091,233,3.6363636363636362,2,21.2,17.0,19188.0,19188,45.63636363636363,42,30.09090909090909,24,1.4545454545454546,1,25.454545454545453,40.3,138.3818181818182,284.6,1881.1818181818182,1350,0.45454545454545453,0,0.0,0,0.0,0,0.0,0,0.0,0,46.81818181818182,45,94.63636363636364,99.0,63.0,39,3.1818181818181817,1
0,Eberechi Eze,1,8.0,8,17.0,17,470.0,470,6.0,6,653.1,653.1,232413.0,232413,58.0,58,51.0,51,4.0,4,155.4,155.4,516.2,516.2,2555.0,2555,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,60.0,60,383.0,383.0,125.0,125,3.0,3
0,Sam Woods,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,221272.0,221272,39.666666666666664,40,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,40.0,40,0.0,0.0,0.0,0,0.0,0
0,Ryan Inniss,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,114536.0,114536,39.666666666666664,40,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,40.0,40,0.0,0.0,0.0,0,0.0,0
0,Nathaniel Clyne,8,1.75,1,5.5,0,310.625,172,7.125,2,115.6,84.3,57328.0,57328,49.25,45,29.75,22,0.5,0,28.15,27.2,110.5,150.8,2111.0,1145,0.125,0,0.0,0,0.0,0,0.0,0,0.0,0,49.375,45,55.125,34.0,77.75,28,2.5,2
0,Stephen Henderson,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,42525.0,42525,39.5,40,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,40.0,40,0.0,0.0,0.0,0,0.0,0
0,Jack Butland,6,0.16666666666666666,0,5.333333333333333,0,249.5,14,3.3333333333333335,0,1.6666666666666667,0.0,105666.0,105666,47.166666666666664,45,19.5,2,0.0,0,19.400000000000002,1.7,191.96666666666667,16.6,1162.5,90,0.16666666666666666,0,0.0,0,0.0,0,0.0,0,48.333333333333336,3,47.5,45,0.0,0.0,49.833333333333336,2,0.0,0
0,Jean-Philippe Mateta,1,0.0,0,2.0,2,45.0,45,0.0,0,16.2,16.2,231747.0,231747,53.0,53,4.0,4,1.0,1,14.0,14.0,46.6,46.6,215.0,215,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,60.0,60,80.0,80.0,15.0,15,0.0,0
0,Reece Hannam,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,223824.0,223824,40.0,40,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,40.0,40,0.0,0.0,0.0,0,0.0,0
0,Jesurun Rak-Sakyi,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,450542.0,450542,45.0,45,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,45.0,45,0.0,0.0,0.0,0,0.0,0
0,Fabian Delph,12,0.8333333333333334,0,1.4166666666666667,0,137.75,48,2.4166666666666665,0,48.35833333333333,29.8,41823.0,41823,48.916666666666664,48,19.0,6,0.5833333333333334,0,12.866666666666667,6.8,67.60000000000001,37.0,1131.75,260,0.16666666666666666,0,0.0,0,0.0,0,0.25,0,0.0,0,51.666666666666664,50,12.833333333333334,1.0,33.666666666666664,8,2.5,1
0,Gylfi Sigurdsson,10,5.6,5,12.5,13,383.4,443,7.4,10,442.5400000000001,644.2,55422.0,55422,70.1,68,37.8,29,6.7,6,113.58,168.8,333.6,530.6,2310.7,2244,0.0,0,0.4,1,0.0,0,0.0,0,0.0,0,73.0,70,358.9,510.0,123.9,122,2.2,2
0,Jonas Lössl,4,0.5,0,5.0,0,310.5,0,3.75,0,17.575,0.0,57513.0,57513,43.75,43,28.0,0,0.0,0,42.125,0.0,402.75,0.0,1549.25,0,0.25,0,0.0,0,0.75,0,0.0,0,47.75,0,45.0,45,1.0,0.0,58.5,0,0.5,0
0,Seamus Coleman,12,2.5,3,7.166666666666667,4,280.9166666666667,371,7.583333333333333,8,102.25833333333333,268.2,59949.0,59949,56.75,49,24.583333333333332,19,1.6666666666666667,0,35.14166666666667,78.0,165.2166666666667,322.6,1973.5,1607,0.25,0,0.0,0,0.0,0,0.16666666666666666,0,0.0,0,55.833333333333336,50,83.66666666666667,189.0,88.66666666666667,81,2.4166666666666665,0
